sentence,source,href
镜湖流水漾清波，狂客归舟逸兴多。,李白《送贺宾客归越》,/mingju/juv_2e58d1d23714.aspx
仁莫大於爱人，智莫大於知人，爱人即无怨刑，知人即无乱政。,《文子·卷七·微明》,/mingju/juv_b4952747bfa0.aspx
酒中堪累月，身外即浮云。,杜审言《秋夜宴临津郑明府宅》,/mingju/juv_bcf9c307c91e.aspx
兽炉沉水烟，翠沼残花片。一行写入相思传。,张可久《塞鸿秋·春情》,/mingju/juv_53faa20931e3.aspx
好花不与殢香人，浪粼粼。,姜夔《鬲溪梅令·丙辰冬自无锡归作此寓意》,/mingju/juv_7ca394bdb23f.aspx
无端听画角，枕畔红冰薄。,纳兰性德《菩萨蛮·朔风吹散三更雪》,/mingju/juv_1d455cb3115c.aspx
相见争如不见，有情何似无情。,司马光《西江月·宝髻松松挽就》,/mingju/juv_726ea6f8cf89.aspx
清歌散新声，绿酒开芳颜。,陶渊明《诸人共游周家墓柏下》,/mingju/juv_1579bc56a93a.aspx
盛时不可再，百年忽我遒。,曹植《箜篌引 / 野田黄雀行》,/mingju/juv_639cfb1a82c0.aspx
当日事，当日毕，留到明朝又费力。,,/mingju/juv_9151711b9be1.aspx
瑞气祥云环画阁，黄莺紫燕贺新居。,,/mingju/juv_b0bdc289d6a0.aspx
居移气，养移体，大哉居乎！,《孟子·尽心章句上·第三十六节》,/mingju/juv_0b0c88adc718.aspx
人道洛阳花似锦，偏我来时不遇春。,,/mingju/juv_105863ebd437.aspx
初月未终夕，边烽不过秦。,贾岛《暮过山村》,/mingju/juv_6ff326fbc8c5.aspx
听元宵，往岁喧哗，歌也千家，舞也千家。,王磐《古蟾宫·元宵》,/mingju/juv_51ee8dc7bed1.aspx
名园依绿水，野竹上青霄。,杜甫《陪郑广文游何将军山林》,/mingju/juv_7cb9f48b2495.aspx
疏星冻霜空，流月湿林薄。,揭傒斯《寒夜作》,/mingju/juv_43b55550fc4e.aspx
路上有饥人，家中有剩饭。,《增广贤文·上集》,/mingju/juv_403ade01c47e.aspx
长风吹白茅，野火烧枯桑。,岑参《至大梁却寄匡城主人》,/mingju/juv_40a4eb9fdced.aspx
其人存，则其政举；其人亡，则其政息。,《中庸·第二十章》,/mingju/juv_3ae6eb5374df.aspx
白白与红红，别是东风情味。,严蕊《如梦令·道是梨花不是》,/mingju/juv_217c1b2d2e89.aspx
维子之故，使我不能餐兮。,佚名《狡童》,/mingju/juv_5636314d1e35.aspx
善不可失，恶不可长,《左传·隐公·隐公六年》,/mingju/juv_5cb838270990.aspx
百亩庭中半是苔，桃花净尽菜花开。,刘禹锡《再游玄都观》,/mingju/juv_2b71008fdfd6.aspx
不入山林，不识百鸟。,,/mingju/juv_861d24ea749e.aspx
手种堂前垂柳，别来几度春风。,欧阳修《朝中措·送刘仲原甫出守维扬》,/mingju/juv_1ba684f7d8a5.aspx
慷慨十年长剑在，登楼一笑暮山横。,崔允《花马池咏》,/mingju/juv_7fa01406ada6.aspx
三春已暮花从风，空留可怜与谁同。,萧衍《东飞伯劳歌》,/mingju/juv_e4eb2fdad0ca.aspx
欲利而身，先利而君；欲富而家，先富而国。,《韩非子·外储说右下》,/mingju/juv_38acedb44b92.aspx
儿童强不睡，相守夜欢哗。,苏轼《守岁》,/mingju/juv_a7516b17244b.aspx
月色如银。,苏轼《行香子·述怀》,/mingju/juv_89b3b0681867.aspx
中岁颇好道，晚家南山陲。,王维《终南别业 / 初至山中 / 入山寄城中故人》,/mingju/juv_71d9c9a3cada.aspx
此去经年，应是良辰好景虚设。,柳永《雨霖铃·寒蝉凄切》,/mingju/juv_e91be5112a09.aspx
少年乐新知，衰暮思故友。,韩愈《除官赴阙至江州寄鄂岳李大夫》,/mingju/juv_ecec34ea20cd.aspx
日落君山云气，春到沅湘草木，远思渺难收。,张孝祥《水调歌头·过岳阳楼作》,/mingju/juv_8b098921bdc1.aspx
又到断肠回首处，泪偷零。,纳兰性德《山花子·风絮飘残已化萍》,/mingju/juv_13cb39dd221c.aspx
壮岁从戎，曾是气吞残虏。,陆游《谢池春·壮岁从戎》,/mingju/juv_92cda398e23d.aspx
有为者辟若掘井，掘井九轫而不及泉，犹为弃井也。,《孟子·尽心章句上·第二十九节》,/mingju/juv_4cf24b429ee3.aspx
青霓扣额呼宫神，鸿龙玉狗开天门。,李贺《绿章封事》,/mingju/juv_34a63c279198.aspx
贫不足羞，可羞是贫而无志。,《小窗幽记·集醒篇》,/mingju/juv_e32436243f00.aspx
聚散匆匆，云边孤雁，水上浮萍。,刘过《柳梢青·送卢梅坡》,/mingju/juv_9b6f406eaece.aspx
清泉映疏松，不知几千古。,李白《望月有怀》,/mingju/juv_3a4f4012b096.aspx
野蔬充膳甘长藿，落叶添薪仰古槐。,元稹《遣悲怀三首·其一》,/mingju/juv_ff86fd2331ec.aspx
致君尧舜上，再使风俗淳。,杜甫《奉赠韦左丞丈二十二韵》,/mingju/juv_09f0fbd22a17.aspx
翠袖佳人依竹下，白衣宰相在山中。,高启《咏梅九首》,/mingju/juv_dc594ca35484.aspx
不道愁人不喜听，空阶滴到明。,万俟咏《长相思·雨》,/mingju/juv_b798fd6d0b38.aspx
鸦翎羽箭山桑弓，仰天射落衔芦鸿。,李贺《野歌》,/mingju/juv_9470223b37c5.aspx
小时了了，大未必佳！,《世说新语·言语》,/mingju/juv_35e563e874e8.aspx
老人行即到，到即行人老。,苏轼《菩萨蛮·回文》,/mingju/juv_6a4183d309d8.aspx
西上莲花山，迢迢见明星。,李白《古风·其十九》,/mingju/juv_fba95fa4cc96.aspx
尺幅鲛鮹劳解赠，叫人焉得不伤悲！,《红楼梦·第三十四回》,/mingju/juv_e667d0603694.aspx
